URL	Label
live.cnews.ru/*	_cse_exclude_lmo7aip_90c
three_ds_max.academic.ru/*	_cse_exclude_lmo7aip_90c
virt.cnews.ru/*	_cse_exclude_lmo7aip_90c
board.buddhist.ru/*	_cse_exclude_lmo7aip_90c
fujitsu.cnews.ru/*	_cse_exclude_lmo7aip_90c
storagenews.ru/*.pdf	_cse_lmo7aip_90c
academic.ru/dic.nsf/rus_eng_biology*	_cse_exclude_lmo7aip_90c
*.rlsnet.ru/*prep_index	_cse_exclude_lmo7aip_90c
*.rlsnet.ru/*pcr_tn	_cse_exclude_lmo7aip_90c
tex.uniyar.ac.ru/*	_cse_lmo7aip_90c
argolis-yacht.ru/School*	_cse_lmo7aip_90c
*.pcabc.ru/*	_cse_lmo7aip_90c
*.zooinform.ru/*exhibitions	_cse_exclude_lmo7aip_90c
*.zooinform.ru/*events	_cse_exclude_lmo7aip_90c
*.zooinform.ru/*pitomniki	_cse_exclude_lmo7aip_90c
*.zooinform.ru/*kotomania	_cse_exclude_lmo7aip_90c
*.zooinform.ru/*blago	_cse_exclude_lmo7aip_90c
*.zooinform.ru/*sport	_cse_exclude_lmo7aip_90c
*.zooinform.ru/*news	_cse_exclude_lmo7aip_90c
*.zooinform.ru/*companies	_cse_exclude_lmo7aip_90c
zooinform.ru/business/articles*	_cse_exclude_lmo7aip_90c
*.zooinform.ru/*clinics	_cse_exclude_lmo7aip_90c
zooinform.ru/vete/blogs*	_cse_exclude_lmo7aip_90c
*.zooinform.ru/*	_cse_lmo7aip_90c
*.vetkuban.com/*	_cse_lmo7aip_90c
vetpharma.org/news*	_cse_exclude_lmo7aip_90c
vetpharma.org/calendar*	_cse_exclude_lmo7aip_90c
*.vetpharma.org/*	_cse_lmo7aip_90c
*.veterinarymedicine.ru/*	_cse_lmo7aip_90c
logospress-vet.ru/news*	_cse_exclude_lmo7aip_90c
*.logospress-vet.ru/*	_cse_lmo7aip_90c
*.veter96.ru/*	_cse_lmo7aip_90c
*.koshsps.ru/*	_cse_lmo7aip_90c
*.droug.ru/*novosti	_cse_exclude_lmo7aip_90c
droug.ru/forum*	_cse_exclude_lmo7aip_90c
*.droug.ru/*blogi	_cse_exclude_lmo7aip_90c
*.droug.ru/*	_cse_lmo7aip_90c
