URL	Label
polygraphicbook.narod.ru/*	_cse_sps98skj394
*.creativeconomy.ru/*	_cse_sps98skj394
futurist.ru/news*	_cse_exclude_sps98skj394
*.futurist.ru/*	_cse_sps98skj394
mel.fm/blog*	_cse_exclude_sps98skj394
*.mel.fm/*	_cse_sps98skj394
*.alldef.ru/*	_cse_sps98skj394
redkayakniga.ru/news*	_cse_exclude_sps98skj394
sdo.sikorsky.academy/*	_cse_sps98skj394
empendium.com/ru*	_cse_sps98skj394
katrenstyle.ru/articles*	_cse_sps98skj394
*.reanimatology.com/*	_cse_sps98skj394
*.psychiatry.ua/*	_cse_sps98skj394
*.psy4psy.ru/*	_cse_sps98skj394
*.psychologyjournal.ru/*	_cse_sps98skj394
*.psychosearch.ru/*	_cse_sps98skj394
sleep.ru/conf*	_cse_exclude_sps98skj394
*.sleep.ru/*	_cse_sps98skj394
b17.ru/article*	_cse_sps98skj394
slovonline.ru/slovar_el_morph_adjective*	_cse_exclude_sps98skj394
medvestnik.ru/content/news*	_cse_exclude_sps98skj394
*.medvestnik.ru/*	_cse_sps98skj394
historymed.ru/news*	_cse_exclude_sps98skj394
*.historymed.ru/*	_cse_sps98skj394
*.medlib.xyz/*	_cse_sps98skj394
psy.msu.ru/*	_cse_sps98skj394
*.s-psy.ru/*	_cse_sps98skj394
*.psytheater.com/*	_cse_sps98skj394
*.igma.ru/*	_cse_sps98skj394
*.encyclopatia.ru/*	_cse_sps98skj394
ntv.ifmo.ru/*	_cse_sps98skj394
*.fmm.ru/*	_cse_sps98skj394
kipt.kharkov.ua/conferences*	_cse_exclude_sps98skj394
kipt.kharkov.ua/*	_cse_sps98skj394
steeltimes.ru/news*	_cse_exclude_sps98skj394
*.steeltimes.ru/*	_cse_sps98skj394
*.azbukametalla.ru/*	_cse_sps98skj394
*.kuznec.com/*	_cse_sps98skj394
*.libmetal.ru/*	_cse_sps98skj394
*.aari.aq/*	_cse_sps98skj394
19v-euro-lit.niv.ru/*	_cse_sps98skj394
*.psyobsor.org/*	_cse_sps98skj394
*.surgery.by/*	_cse_sps98skj394
*.sci-notes.ru/*	_cse_sps98skj394
ru.theanarchistlibrary.org/*	_cse_sps98skj394
*.psyera.ru/*	_cse_sps98skj394
psychiatry.ru/newscomplete*	_cse_exclude_sps98skj394
psychiatry.ru/siteconst*	_cse_exclude_sps98skj394
*.psychiatry.ru/*	_cse_sps98skj394
nplus1.ru/news*	_cse_exclude_sps98skj394
*.nplus1.ru/*	_cse_sps98skj394
pravda.ru/tags*	_cse_exclude_sps98skj394
*.ansar.ru/*	_cse_sps98skj394
ansar.ru/rfsng*	_cse_exclude_sps98skj394
*.nogr.org/*	_cse_sps98skj394
hotels_directory.academic.ru/*	_cse_exclude_sps98skj394
*.geohyst.ru/*	_cse_sps98skj394
*.nsu.ru/*	_cse_sps98skj394
nsu.ru/n/media/news*	_cse_exclude_sps98skj394
*.nat-geo.ru/*	_cse_sps98skj394
*.etnosy.ru/*	_cse_sps98skj394
*.stroy-tale.ru/*	_cse_sps98skj394
kpfu.ru/portal*	_cse_sps98skj394
gazeta.ru/tags*	_cse_exclude_sps98skj394
*.idmedina.ru/*	_cse_sps98skj394
*.lektrava.ru/*	_cse_sps98skj394
fp.com.ua/news*	_cse_exclude_sps98skj394
fp.com.ua/*	_cse_sps98skj394
nsh.ru/aktualno/news*	_cse_exclude_sps98skj394
*.nsh.ru/*	_cse_sps98skj394
religion.historic.ru/news*	_cse_exclude_sps98skj394
shop.islamtv.ru/*	_cse_exclude_sps98skj394
*.e-minbar.com/*	_cse_sps98skj394
islam.ru/news*	_cse_exclude_sps98skj394
*.islam.ru/*	_cse_sps98skj394
ru.quranacademy.org/*	_cse_sps98skj394
*.islamtv.ru/*	_cse_sps98skj394
*.proatom.ru/*	_cse_sps98skj394
vcsi.ru/files*	_cse_sps98skj394
*.kurufin.ru/*	_cse_sps98skj394
*.culture.pl/*	_cse_sps98skj394
*.russofile.ru/*	_cse_sps98skj394
ru-egypt.com/egypt-news*	_cse_exclude_sps98skj394
*.ru-egypt.com/*	_cse_sps98skj394
book.iimes.su/*	_cse_sps98skj394
mirec.mgimo.ru/*	_cse_sps98skj394
*.m-economy.ru/*	_cse_sps98skj394
*.klnran.ru/*	_cse_sps98skj394
